n,KMPrt,RKrt,LCSrt,O(n+m)
1000,0.0,0.0,0.020000219345092773,0.0
3152378,0.8887233734130859,0.9449994564056396,67.81226086616516,0.04899930953979492
6303756,1.3769996166229248,1.9429996013641357,130.3420329093933,0.10199832916259766
9455134,2.0049972534179688,2.6540002822875977,178.36715722084045,0.13100075721740723
12606512,2.5699985027313232,3.6715493202209473,242.58715200424194,0.17399907112121582
15757890,3.0959997177124023,4.528610467910767,326.2179682254791,0.24199914932250977
18909268,4.07699990272522,5.7890002727508545,361.81652426719666,0.27499961853027344
22060646,4.288999319076538,6.184999704360962,418.7979996204376,0.33300042152404785
25212024,4.935998916625977,7.013999938964844,486.0761024951935,0.33299708366394043
28363402,5.525000333786011,7.9110002517700195,558.4961967468262,0.38699984550476074
31514780,6.375994443893433,8.838000297546387,635.5298187732697,0.5336582660675049
34666158,8.28283143043518,11.471445322036743,740.9705021381378,0.54599928855896
37817536,8.33209228515625,11.863226652145386,759.2646298408508,0.5575120449066162
40968914,8.14648175239563,11.807558536529541,912.3020131587982,0.6720001697540283
44120292,9.980002403259277,14.48487114906311,998.4383387565613,0.7700109481811523
47271670,10.515773296356201,15.259218692779541,1093.4767305850983,0.740269660949707
50423048,11.662918329238892,16.618325233459473,1204.270004272461,0.8499979972839355
53574426,12.538063049316406,17.715017795562744,1331.1143403053284,1.0130977630615234
56725804,14.012271165847778,21.175216913223267,1361.6584296226501,1.0046098232269287
59877182,14.976081848144531,21.964789867401123,1439.5699837207794,0.8461213111877441
